sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00504018,OVO Sakaguchi ao leite,0140106802,AÇÚCAR DEMERARA orgânico,0.0925,KG
00504018,OVO Sakaguchi ao leite,03001001,Leite em Pó integral,0.0175,KG
00504018,OVO Sakaguchi ao leite,9990107001,MANTEIGA DE CACAU desodorizada,0.04,KG
00504018,OVO Sakaguchi ao leite,9990307005,Manteiga de Cacau Yanomami terc,0.04,KG
00504018,OVO Sakaguchi ao leite,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.051326,KG
00504020,Chocolates Sortidos 1,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.0418,KG
00504020,Chocolates Sortidos 1,0210101001,Amêndoa de Cupuaçu - Sakaguchi (PA),0.05643,KG
00504020,Chocolates Sortidos 1,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.0418,KG
00504020,Chocolates Sortidos 1,0210303001,Nibs de Cupuaçu - Sakaguchi,0.0513,KG
00504020,Chocolates Sortidos 1,0050303003,Nibs de Cacau - Sakaguchi(PA),0.064621,KG
00504020,Chocolates Sortidos 1,0050304004,Liquor de Cacau - Sakaguchi (PA),0.045348,KG
00504020,Chocolates Sortidos 1,0140106004,Açúcar Demerara,0.022673,KG
00504020,Chocolates Sortidos 1,9990307005,Manteiga de Cacau Yanomami terc,0.010582,KG
00504020,Chocolates Sortidos 1,0320305032,Massa de Chocolate - Chocolate - Sakaguc,0.095,KG
00504020,Chocolates Sortidos 1,0050108008,Biscoito de castanha do Pará,0.050442,KG
00504020,Chocolates Sortidos 1,0050111002,Aromatizante Puxuri,1.9e-05,KG
00504020,Chocolates Sortidos 1,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.044368,KG
00504020,Chocolates Sortidos 1,9990111001,Flor de Sal,0.000171,KG
00504020,Chocolates Sortidos 1,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.031211,KG
00504020,Chocolates Sortidos 1,0110109014,Castanha do Pará - Acará-Açu (PA),0.058522,KG
00504020,Chocolates Sortidos 1,9990111001,Flor de Sal,0.005267,KG
00504020,Chocolates Sortidos 1,0050305011,Disco Sakaguchi ao Leite,0.095,KG
00504020,Chocolates Sortidos 1,0050308011,Biscoito de castanha do Pará banhado com,0.095,KG
00504020,Chocolates Sortidos 1,0050309001,Castanha do Pará banhada com chocolate,0.095,KG
00504020,Chocolates Sortidos 1,0080305005,Folha Cupulate Kunkuni,0.095,KG
00504020,Chocolates Sortidos 1,0190212037,Luva Embalagem Mix 1,1,UN
00504020,Chocolates Sortidos 1,0190212044,Caixa para transporte MIX 6 unid,0.1667,UN
00504020,Chocolates Sortidos 1,0190213035,Base da Embalagem Mix 1,1,UN
00504020,Chocolates Sortidos 1,0190213036,Colmeia Embalagem  Mix 1,1,UN
00504020,Chocolates Sortidos 1,0190214016,Cartão Surpresa - Prima Stampa,1,UN
00504020,Chocolates Sortidos 1,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504020,Chocolates Sortidos 1,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00504020,Chocolates Sortidos 1,9990115003,Filme termo encolhivel,0.22,M
00504020,Chocolates Sortidos 1,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504020,Chocolates Sortidos 1,0080301006,Amêndoa de Cupuaçu Aprovada - Santa Bárb,0.06061,KG
00504020,Chocolates Sortidos 1,0080302002,Amêndoa de Cupuaçu Torrada - Santa Bárba,0.06061,KG
00504020,Chocolates Sortidos 1,0080303003,Nibs de Cupuaçu - Santa Bárbara (PA),0.0551,KG
00504020,Chocolates Sortidos 1,0080304008,Liquor de Cupuaçu - Santa Bárbara (PA),0.0551,KG
00504020,Chocolates Sortidos 1,0140106004,Açúcar Demerara,0.02375,KG
00504020,Chocolates Sortidos 1,9990107001,MANTEIGA DE CACAU desodorizada,0.01615,KG
00504020,Chocolates Sortidos 1,0080305004,Massa de  Cupuaçu - Santa Bárbara (PA),0.095,KG
00504020,Chocolates Sortidos 1,0210305004,Massa  de Cupuaçu - Sakaguchi,0.095,KG
00504020,Chocolates Sortidos 1,0050302010,Amêndoa de Cupuaçu Torrada - SAKAGUCHI,0.05643,KG
00504020,Chocolates Sortidos 1,0050303010,LIQUOR DE CUPUAÇU -SAKAGUCHI,0.0513,KG
00504020,Chocolates Sortidos 1,0140106004,Açúcar Demerara,0.01615,KG
00504020,Chocolates Sortidos 1,9990107001,MANTEIGA DE CACAU desodorizada,0.02755,KG
00504020,Chocolates Sortidos 1,0050111003,Semente de Cumaru,0,KG
00504020,Chocolates Sortidos 1,0050304004,Liquor de Cacau - Sakaguchi (PA),0.038,KG
00504020,Chocolates Sortidos 1,0140106004,Açúcar Demerara,0.03515,KG
