sku,descricao,categoria_produto,unidade
05104082,Barra Recheada Avelã Granel 80g,Produto Acabado,PC
05104083,Barra Recheada Int Avelã Granel 80g,Produto Acabado,PC
05104084,Barra Vale do Jari Granel 60g,Produto em Processo,PC
05104085,Barra Kunkuni Granel 60g,Produto Acabado,PC
05104086,Barra Xiba Granel 60g,Produto Acabado,PC
05104087,Barra Sakaguchi Lt Granel 60g,Produto Acabado,PC
05104088,Barra Sakaguchi 78% Granel 60g,Produto Acabado,PC
05104089,Barra Bom Jardim Granel 60g,Produto Acabado,PC
05104090,Barra Sakaguchi Cupu Granel 60g,Produto Acabado,PC
05104091,Barra Mocajuba Granel 60g,Produto Acabado,PC
05104092,Barra Acará-Açu Granel 60g,Produto Acabado,PC
05104093,Barra Amabela Cupu Granel 60g,Produto Acabado,PC
05104094,Barra Paiter Suruí Granel 60g,Produto Acabado,PC
05104095,Barra Yanomami Granel 60g,Produto Acabado,PC
05104096,Bombom SF Castanha-do-Pará 10g,Produto Acabado,PC
05104097,Bombom SSAL Choc Lt praliné de avelã 9g,Produto em Processo,PC
05104098,Bombom SSAL Choc Lt Doce Cupu 10 g,Produto em Processo,PC
05104099,Bombom SSAL Choc Lt Castanha do Pará 8g,Produto em Processo,UN
05104100,Bombom SSAL Chocolate ao leite 26g,Produto em Processo,UN
05104101,Bombom SSAL Choc Branco Nibs 8g,Produto em Processo,UN
05104102,Bombom SSAL Choc Int Praliné Avelã 9g,Produto em Processo,PC
05104103,Bombom SSAL Choc Int Ganache Int 9g,Produto em Processo,UN
05104104,Bombom SSAL Choc Int Taperebá 10g,Produto em Processo,UN
05104105,Bombom SSAL Chocolate Intenso 4g,Produto em Processo,UN
05104106,Bombom SSAL Choc Int Taperebá 11g,Produto em Processo,UN
05104107,Bombom SSAL Choc Lt Doce Cupu 11 g,Produto em Processo,PC
05104108,Placa SSAL 1/8 Choco Lt Yanomami 47g,Produto em Processo,PC
05104109,Bombom NM Mini Lua Cheia ao Leite 10g,Produto em Processo,PC
05104110,Bombom NM Choc Lt Praliné de Avelã 9g,Produto em Processo,PC
05104111,Bombom NM Choc Int Praliné de Avelã 9g,Produto em Processo,PC
05104112,Bombom NM Choc Int Ganache Int 11g,Produto em Processo,PC
05104113,Bombom NM Chocolate ao Leite 11g,Produto em Processo,PC
