numero_op,sku_produto_final,sku_material,descricao_material,qtd_consumo,qtd_previsto,qtd_diferenca,data_registro,data_producao,status
4059,9990311025,9990111003,Creme de Leite UHT 25%,0.0483,0.037,0.0113,2026-05-18,2026-05-14,Produzida
4059,9990311025,9990111006,Manteiga de Leite,0.0052,0.0068,-0.0016,2026-05-18,2026-05-14,Produzida
4059,9990311025,9990111023,Sorbitol em Pó,0.0046,0.0088,-0.0042,2026-05-18,2026-05-14,Produzida
4059,9990311025,9990111053,MALTODEXTRINA DE10 1910,0.0014,0,0.0014,2026-05-18,2026-05-14,Produzida
4059,9990311025,9990111054,Sorbato de Potássio Granulado,0.0002,0,0.0002,2026-05-18,2026-05-14,Produzida
4058,05104071,0020305008,Massa de Chocolate - Mocajuba Intenso,0.108,0,0.108,2026-05-18,2026-05-14,Produzida
4058,05104071,0260305001,Massa de Chocolate - Moju Intenso,0,0.108,-0.108,2026-05-18,2026-05-14,Produzida
4058,05104071,9990311025,Ganache Chocolate intenso,0.15,0.132,0.018,2026-05-18,2026-05-14,Produzida
4057,05104008,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.225,0.225,0,2026-05-18,2026-05-14,Produzida
4057,05104008,9990311030,Praliné de Avelã colagem,0.275,0.275,0,2026-05-18,2026-05-14,Produzida
4056,0050321024,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,11,9.6628,1.3372,2026-05-18,2026-05-14,Produzida
4056,0050321024,9990311030,Praliné de Avelã colagem,4.43,3.7807,0.6493,2026-05-18,2026-05-14,Produzida
4056,0050321024,9990311038,Recheio Caramelo Maracujá,2.7341,2.7904,-0.0563,2026-05-18,2026-05-14,Produzida
4055,05004097,0050321024,Barra 80 GR  Caram de Maracujá+praliné,201,201,0,2026-05-18,2026-05-18,Produzida
4055,05004097,0050321024,Barra 80 GR  Caram de Maracujá+praliné,201,201,0,2026-05-19,2026-05-18,Produzida
4055,05004097,0190213056,Envelope plastico transparente,201,201,0,2026-05-18,2026-05-18,Produzida
4055,05004097,0190213056,Envelope plastico transparente,201,201,0,2026-05-19,2026-05-18,Produzida
4055,05004097,0190213165,Caixa ES Ao Leite com Praliné e Maracujá,201,201,0,2026-05-18,2026-05-18,Produzida
4055,05004097,0190213165,Caixa ES Ao Leite com Praliné e Maracujá,201,201,0,2026-05-19,2026-05-18,Produzida
4055,05004097,019021424,CARTÃO QR,201,201,0,2026-05-18,2026-05-18,Produzida
4055,05004097,019021424,CARTÃO QR,201,201,0,2026-05-19,2026-05-18,Produzida
4054,9990311045,0050111003,Semente de Cumaru,0.002,0.002,0,2026-05-19,2026-05-14,Produzida
4054,9990311045,0140106805,Açúcar refinado,0.2,0.2,0,2026-05-19,2026-05-14,Produzida
4053,0020315002,0020305008,Massa de Chocolate - Mocajuba Intenso,0.602,0,0.602,2026-05-19,2026-05-19,Produzida
4053,0020315002,0050111003,Semente de Cumaru,0.004,0.0034,0.0006,2026-05-19,2026-05-19,Produzida
4053,0020315002,0140106805,Açúcar refinado,0.3168,0.3169,-0.0001,2026-05-19,2026-05-19,Produzida
4053,0020315002,0140106806,Açúcar Mascavo,0.6338,0.6337,0.0001,2026-05-19,2026-05-19,Produzida
4053,0020315002,0260305001,Massa de Chocolate - Moju Intenso,0,0.602,-0.602,2026-05-19,2026-05-19,Produzida
4053,0020315002,9990111006,Manteiga de Leite,0.8,0.9506,-0.1506,2026-05-19,2026-05-19,Produzida
4053,0020315002,9990111068,Farinha de Trigo,0.6,0.2377,0.3623,2026-05-19,2026-05-19,Produzida
4053,0020315002,99901110703,Gema de ovo pasteurizada,0,0.1095,-0.1095,2026-05-19,2026-05-19,Produzida
4053,0020315002,99901110704,Clara de ovo pasteurizada,0,0.4165,-0.4165,2026-05-19,2026-05-19,Produzida
4053,0020315002,9990111074,Ovo de Galinha,18,0,18,2026-05-19,2026-05-19,Produzida
4053,0020315002,9990117003,Cacau em Pó Alcalino,0.636,0.1268,0.5092,2026-05-19,2026-05-19,Produzida
4053,0020315002,9990311045,Calda Bolo de Chocolate,0.6,0,0.6,2026-05-19,2026-05-19,Produzida
4052,0020315001,0020315002,Massa Do Bolo de Chocolate,3.4,3.4,0,2026-05-19,2026-05-19,Produzida
4052,0020315001,0020315003,Recheio Intenso Bolo de Chocolate,0.92,0.92,0,2026-05-19,2026-05-19,Produzida
4052,0020315001,0020315004,Cobertura Bolo de Chocolate,1.4,1.4,0,2026-05-19,2026-05-19,Produzida
4052,0020315001,0050315004,Recheio Ao Leite Bolo de Chocolate,1.84,1.84,0,2026-05-19,2026-05-19,Produzida
4052,0020315001,9990311045,Calda Bolo de Chocolate,0,0.4,-0.4,2026-05-19,2026-05-19,Produzida
4050,0050305010,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,9.409,9.409,0,2026-05-14,2026-05-13,Produzida
4050,0050305010,9990307008,Pomada de manteiga de cacau,0,0.095,-0.095,2026-05-14,2026-05-13,Produzida
4050,0050305010,9990311030,Praliné de Avelã colagem,8.315,6.336,1.979,2026-05-14,2026-05-13,Produzida
4049,05004016,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,3168,3168,0,2026-05-14,2026-05-14,Produzida
4049,05004016,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,3168,3168,0,2026-05-15,2026-05-14,Produzida
4049,05004016,0190213051,Caixa Base  LO 80g,198,198,0,2026-05-14,2026-05-14,Produzida
4049,05004016,0190213051,Caixa Base  LO 80g,198,198,0,2026-05-15,2026-05-14,Produzida
4049,05004016,0190213052,Luva LO 80GR ao leite com Praliné,198,198,0,2026-05-14,2026-05-14,Produzida
4049,05004016,0190213052,Luva LO 80GR ao leite com Praliné,198,198,0,2026-05-15,2026-05-14,Produzida
4049,05004016,0190213060,Berço termoformado LO,198,198,0,2026-05-14,2026-05-14,Produzida
4049,05004016,0190213060,Berço termoformado LO,198,198,0,2026-05-15,2026-05-14,Produzida
4049,05004016,019021424,CARTÃO QR,198,198,0,2026-05-14,2026-05-14,Produzida
4049,05004016,019021424,CARTÃO QR,198,198,0,2026-05-15,2026-05-14,Produzida
