sku,descricao,data_saida,data_entrada,documento,almoxarifado_origem,almoxarifado_destino,quantidade,lote
9990111008,Xarope de glucose,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,5,20260605
9990111013,Polpa Cupuaçu,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,0.2,09792181
9990111020,Avelã,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,10,340026562154829
9990111042,Xerem de Castanha de Caju,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,1,V.230420230
9990111045,Polpa de Açaí,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,0.1,09798181
9990111049,Polpa de Abacaxi com Hortelã,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,0.1,09779181
9990111056,Castanha do Pará,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,1,2025/04
9990111063,Banana Da Terra,2026-07-22,2026-07-22,4383,Almox_SP_Fabrica,Almox_SP_Loja,1.178,16072026
99901110705,Milho Tostado Salgado,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,0.25,0024
9990111073,Castanha de Caju,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,0.25,0024
9990712045,Etiqueta Lacre 2 - Adesivo transparente,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,1008,   0712000001002026
9990712062,Etiqueta Ovo de Páscoa Maracujá,2026-07-21,2026-07-21,4374,Almox_SP_Processo,Almox_SP_Fabrica,68,   0712000001002026
9990712063,Etiqueta Ovo de Páscoa Praliné de Avelã,2026-07-21,2026-07-21,4374,Almox_SP_Processo,Almox_SP_Fabrica,54,   0712000001002026
9990712068,"ADESIVO SSAL - 1,1X4,5CM",2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,16,P004309001
